station_id,name,lat,lon,altitude,address,post_code,capacity
1,"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801069,16.0,"GRAN VIA CORTS CATALANES, 760",8013,45
2,"C/ ROGER DE FLOR, 126",41.3954877,2.1771985,17.0,"C/ ROGER DE FLOR, 126",8013,29
3,"C/ NÀPOLS, 82",41.3941557,2.1813305,11.0,"C/ NÀPOLS, 82",8013,27
4,"C/ RIBES, 13",41.3933173,2.1812483,8.0,"C/ RIBES, 13",8013,21
5,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",41.3911035,2.1801763,7.0,"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",8018,39
6,"PG. LLUIS COMPANYS, 18 (ARC TRIOMF)",41.3914292,2.1805685,10.0,"PG. LLUIS COMPANYS, 18  (ARC TRIOMF)",8018,39
7,"PG. PUJADES,  1 (JUTJATS)",41.388885,2.18329,6.0,"PG. PUJADES,  1 (JUTJATS)",8003,27
8,"PG. PUJADES, 2",41.389135,2.183489,6.0,"PG. PUJADES, 2",8003,27
9,"AV. MARQUÉS DE L'ARGENTERA,13",41.384546,2.184922,5.0,"AV. MARQUÉS DE L'ARGENTERA,13",8003,27
10,"C/ 60, NÚMERO 25",41.3467746,2.1436235,4.0,"C/ 60, NÚMERO 25",8040,43
11,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",41.3812425,2.1933482,7.0,"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",8003,35
12,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",41.3833653,2.1946255,7.0,"PG. MARITIM, 23 (HOSPITAL DEL MAR)",8003,26
13,"C/ MARINA, 25-33",41.388143,2.195551,7.0,"C/ MARINA, 25-33",8005,54
14,"AV. MARQUÉS DE  L'ARGENTERA, 15",41.384844,2.185085,5.0,"AV. MARQUÉS DE  L'ARGENTERA, 15",8003,27
15,"C/ DIPUTACIÓ, 272",41.39161170092347,2.1689031978751205,25.0,"C/ DIPUTACIÓ, 272",8009,27
17,"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,14.0,"AV. MERIDIANA, 47 (D)",8013,42
18,"C/ ROSSELLÓ, 453",41.4060589,2.1740472,38.0,"C/ ROSSELLÓ, 453",8025,27
19,"C/ ROSSELLÓ, 354",41.4031491,2.1707947,40.0,"C/ ROSSELLÓ, 354",8025,30
20,"C/ CARTAGENA, 308",41.410314,2.1757334,46.0,"C/ CARTAGENA, 308",8025,18
21,"C/ SANT ANTONI MARIA CLARET, 214",41.4108439,2.1740575,52.0,"C/ SANT ANTONI MARIA CLARET, 214",8025,21
22,"C/ SARDENYA, 292",41.4016969,2.175767,28.0,"C/ SARDENYA, 292",8013,19
23,"C/ BRUC, 45",41.3924661,2.1717397,21.0,"C/ BRUC, 45",8010,27
24,"C/ MARINA, 199",41.4005784,2.1788855,23.0,"C/ MARINA, 199",8013,39
25,"C/ BRUC, 102",41.3954041,2.1681961,29.0,"C/ BRUC, 102",8009,21
26,"C/ DOS DE MAIG, 230-232",41.4071692,2.1820722,22.0,"C/ DOS DE MAIG, 230-232",8013,18
27,"C/ PROVENÇA, 322",41.3967524,2.1646338,38.0,"C/ PROVENÇA, 322",8037,21
28,"C/ SARDENYA, 362",41.4055143,2.1706498,46.0,"C/ SARDENYA, 362",8025,23
29,"C/ PROVENÇA, 388-390",41.401061,2.169941,34.0,"C/ PROVENÇA, 388-390",8025,23
30,"C/ CASTILLEJOS, 184",41.4021805,2.1829894,13.0,"C/ CASTILLEJOS, 184",8013,29
31,PL. DEL MAR,41.3748001,2.1889045,4.0,PL. DEL MAR,8003,18
32,LA BARCELONETA (CN BARCELONETA),41.3736911,2.188928,4.0,LA BARCELONETA (CN BARCELONETA),8003,15
33,"C/ PONTEVEDRA, 58B | C/ JUDICI",41.37686,2.19067,4.0,"C/ PONTEVEDRA, 58B | C/ JUDICI",8003,21
34,"C/ SANT PERE MÉS ALT, 4",41.3871079,2.1753364,9.0,"C/ SANT PERE MÉS ALT, 4",8003,21
35,"C/ SANT RAMON DE PENYAFORT, 1",41.4134833,2.2206913,5.0,"C/ SANT RAMON DE PENYAFORT, 1",8930,54
36,"AV. DE LA CATEDRAL, 6",41.3850616,2.1766834,8.0,"AV. DE LA CATEDRAL, 6",8002,21
